[grpo seed=0] training 500000 steps on cuda ...
[grpo] step   89906/500000 | vs random 0.95 vs negamax 0.07 (p1 0.12/p2 0.02) | ploss +0.155 ent 0.97 | train_wr 0.70 | mix r/n/s 0.55/0.28/0.17 lr 2.8e-04 | 84 st/s
[grpo] step   92892/500000 | vs random 0.95 vs negamax 0.14 (p1 0.22/p2 0.06) | ploss +0.120 ent 1.08 | train_wr 0.63 | mix r/n/s 0.55/0.28/0.17 lr 2.8e-04 | 83 st/s
[grpo] step   95782/500000 | vs random 0.98 vs negamax 0.20 (p1 0.22/p2 0.18) | ploss +0.093 ent 1.09 | train_wr 0.65 | mix r/n/s 0.54/0.29/0.17 lr 2.8e-04 | 83 st/s
[grpo] step   98760/500000 | vs random 0.95 vs negamax 0.12 (p1 0.10/p2 0.14) | ploss +0.049 ent 1.06 | train_wr 0.63 | mix r/n/s 0.53/0.29/0.18 lr 2.7e-04 | 82 st/s
[grpo] step  101719/500000 | vs random 0.98 vs negamax 0.17 (p1 0.22/p2 0.12) | ploss +0.080 ent 1.08 | train_wr 0.62 | mix r/n/s 0.53/0.30/0.18 lr 2.7e-04 | 82 st/s
[grpo] step  104599/500000 | vs random 0.97 vs negamax 0.19 (p1 0.26/p2 0.12) | ploss +0.173 ent 0.99 | train_wr 0.73 | mix r/n/s 0.52/0.30/0.18 lr 2.7e-04 | 82 st/s
[grpo] step  107357/500000 | vs random 0.99 vs negamax 0.29 (p1 0.28/p2 0.30) | ploss +0.148 ent 0.93 | train_wr 0.72 | mix r/n/s 0.51/0.31/0.18 lr 2.7e-04 | 82 st/s
[grpo] step  110365/500000 | vs random 0.97 vs negamax 0.25 (p1 0.34/p2 0.16) | ploss +0.031 ent 0.94 | train_wr 0.60 | mix r/n/s 0.50/0.31/0.18 lr 2.7e-04 | 81 st/s
[grpo] step  113335/500000 | vs random 0.95 vs negamax 0.16 (p1 0.18/p2 0.14) | ploss +0.145 ent 0.94 | train_wr 0.67 | mix r/n/s 0.50/0.32/0.19 lr 2.7e-04 | 82 st/s
[grpo] step  116278/500000 | vs random 0.99 vs negamax 0.23 (p1 0.28/p2 0.18) | ploss +0.080 ent 0.95 | train_wr 0.65 | mix r/n/s 0.49/0.32/0.19 lr 2.7e-04 | 83 st/s
[grpo] step  119530/500000 | vs random 0.99 vs negamax 0.26 (p1 0.32/p2 0.20) | ploss -0.009 ent 0.92 | train_wr 0.58 | mix r/n/s 0.48/0.33/0.19 lr 2.6e-04 | 83 st/s
